
[T1][57/100] Loss=0.00020634579414036125, Acc= 0.9831251550996774
[T1][58/100] Loss=0.00020413854508660734, Acc= 0.9833733145835056
[T1][59/100] Loss=0.0002019580133492127, Acc= 0.9834560344114485
[T1][60/100] Loss=0.00019980246725026518, Acc= 0.9836214740673339
[T1][61/100] Loss=0.00019766217155847698, Acc= 0.9837041938952767
[T1][62/100] Loss=0.00019554350001271814, Acc= 0.9840350732070478
[T1][63/100] Loss=0.0001934413012349978, Acc= 0.9842005128629332
[T1][64/100] Loss=0.00019135576440021396, Acc= 0.9845313921747043
[T1][65/100] Loss=0.0001892932632472366, Acc= 0.9845313921747043
[T1][66/100] Loss=0.0001872607390396297, Acc= 0.9848622714864753
[T1][67/100] Loss=0.00018524938786868006, Acc= 0.9850277111423609
[T1][68/100] Loss=0.00018325523706153035, Acc= 0.9851931507982463
[T1][69/100] Loss=0.00018128595547750592, Acc= 0.985275870626189
[T1][70/100] Loss=0.00017933646449819207, Acc= 0.9854413102820746
[T1][71/100] Loss=0.00017740608018357307, Acc= 0.9855240301100173
[T1][72/100] Loss=0.00017549682524986565, Acc= 0.9855240301100173
[T1][73/100] Loss=0.00017360599304083735, Acc= 0.9855240301100173
[T1][74/100] Loss=0.00017173403466586024, Acc= 0.9857721895938456
[T1][75/100] Loss=0.00016987916023936123, Acc= 0.9858549094217884
[T1][76/100] Loss=0.0001680449058767408, Acc= 0.9861030689056167
[T1][77/100] Loss=0.00016623182455077767, Acc= 0.9861030689056167
[T1][78/100] Loss=0.00016443742788396776, Acc= 0.986682107701216
[T1][79/100] Loss=0.00016265538579318672, Acc= 0.9868475473571015
[T1][80/100] Loss=0.00016088900156319141, Acc= 0.9870957068409297
[T1][81/100] Loss=0.00015914035611785948, Acc= 0.9872611464968153
[T1][82/100] Loss=0.00015740437083877623, Acc= 0.9874265861527008
[T1][83/100] Loss=0.00015568853996228427, Acc= 0.9875920258085863
[T1][84/100] Loss=0.0001539916847832501, Acc= 0.9876747456365291
[T1][85/100] Loss=0.0001523126702522859, Acc= 0.9879229051203573
[T1][86/100] Loss=0.00015065076877363026, Acc= 0.9880883447762429
[T1][87/100] Loss=0.0001490027061663568, Acc= 0.9883365042600711
[T1][88/100] Loss=0.00014736368029844016, Acc= 0.9885846637438994
[T1][89/100] Loss=0.00014573746011592448, Acc= 0.988750103399785
[T1][90/100] Loss=0.00014412944437935948, Acc= 0.9888328232277277
[T1][91/100] Loss=0.00014253868721425533, Acc= 0.9889155430556704
[T1][92/100] Loss=0.00014096827362664044, Acc= 0.9889982628836133
[T1][93/100] Loss=0.00013941303768660873, Acc= 0.989080982711556
[T1][94/100] Loss=0.00013787578791379929, Acc= 0.9891637025394987
[T1][95/100] Loss=0.00013635290088132024, Acc= 0.9892464223674414
[T1][96/100] Loss=0.00013484487135428935, Acc= 0.9895773016792125
[T1][97/100] Loss=0.00013335295079741627, Acc= 0.989742741335098
[T1][98/100] Loss=0.00013187236618250608, Acc= 0.9899909008189263
[T1][99/100] Loss=0.00013041228521615267, Acc= 0.9900736206468691
[T1][100/100] Loss=0.0001289585343329236, Acc= 0.9900736206468691

[T2][1/100] Loss=0.0026443179231137037, Acc= 0.481754417117997
[T2][2/100] Loss=0.0022751055657863617, Acc= 0.48139927195241056
[T2][3/100] Loss=0.002073181327432394, Acc= 0.4815768445352038
[T2][4/100] Loss=0.001955781364813447, Acc= 0.481754417117997
[T2][5/100] Loss=0.0018739894730970263, Acc= 0.4820207759921868
[T2][6/100] Loss=0.0018126165959984064, Acc= 0.48246470744916986
[T2][7/100] Loss=0.0017651497619226575, Acc= 0.48353014294592916
[T2][8/100] Loss=0.0017268700757995248, Acc= 0.4875255260587765
[T2][9/100] Loss=0.0013420371105894446, Acc= 0.7880671224362958
[T2][10/100] Loss=0.0007330051739700139, Acc= 0.9733641125810175
[T2][11/100] Loss=0.0005598642164841294, Acc= 0.9763828464885022
[T2][12/100] Loss=0.00045705161755904555, Acc= 0.9786025037734174
[T2][13/100] Loss=0.00038839696208015084, Acc= 0.9805558021841427
[T2][14/100] Loss=0.0003395217063371092, Acc= 0.9825091005948682
[T2][15/100] Loss=0.0003031171509064734, Acc= 0.9841960401314037
[T2][16/100] Loss=0.0002750373678281903, Acc= 0.9853502619195597
[T2][17/100] Loss=0.0002527866163291037, Acc= 0.9865932699991121
[T2][18/100] Loss=0.0002347601403016597, Acc= 0.9869484151646986
[T2][19/100] Loss=0.00021988223306834698, Acc= 0.9875699192044748
[T2][20/100] Loss=0.00020740208856295794, Acc= 0.9881914232442511
[T2][21/100] Loss=0.0001967711723409593, Acc= 0.9881914232442511
[T2][22/100] Loss=0.00018759506929200143, Acc= 0.9885465684098376
[T2][23/100] Loss=0.00017959991237148643, Acc= 0.988901713575424
[T2][24/100] Loss=0.00017256350838579237, Acc= 0.9890792861582172
[T2][25/100] Loss=0.00016631967446301132, Acc= 0.9890792861582172
[T2][26/100] Loss=0.00016073531878646463, Acc= 0.9892568587410104
[T2][27/100] Loss=0.00015570345567539334, Acc= 0.9894344313238036
[T2][28/100] Loss=0.0001511455193394795, Acc= 0.9896120039065969
[T2][29/100] Loss=0.00014699158782605082, Acc= 0.9897007901979934
[T2][30/100] Loss=0.00014318284229375422, Acc= 0.9898783627807867
[T2][31/100] Loss=0.0001396689476678148, Acc= 0.9902335079463731
[T2][32/100] Loss=0.00013641694386024028, Acc= 0.9904998668205629
[T2][33/100] Loss=0.00013339373981580138, Acc= 0.9906774394033562
[T2][34/100] Loss=0.0001305729674641043, Acc= 0.9908550119861493
[T2][35/100] Loss=0.0001279305579373613, Acc= 0.990943798277546
[T2][36/100] Loss=0.00012544379569590092, Acc= 0.991387729734529
[T2][37/100] Loss=0.0001230988127645105, Acc= 0.9915653023173222
[T2][38/100] Loss=0.00012088242510799319, Acc= 0.9917428749001154
[T2][39/100] Loss=0.00011878077930305153, Acc= 0.991831661191512
[T2][40/100] Loss=0.00011678378359647468, Acc= 0.9919204474829086
[T2][41/100] Loss=0.00011488149175420403, Acc= 0.9919204474829086
[T2][42/100] Loss=0.00011306403757771477, Acc= 0.9920092337743053
[T2][43/100] Loss=0.00011132447980344296, Acc= 0.9920980200657018
[T2][44/100] Loss=0.00010965381079586223, Acc= 0.9922755926484951
[T2][45/100] Loss=0.00010804996418301016, Acc= 0.9924531652312882
[T2][46/100] Loss=0.00010650743206497282, Acc= 0.9924531652312882
[T2][47/100] Loss=0.00010502392251510173, Acc= 0.9925419515226849
[T2][48/100] Loss=0.0001035949753713794, Acc= 0.9926307378140815
[T2][49/100] Loss=0.00010221541742794216, Acc= 0.9928970966882713
[T2][50/100] Loss=0.00010088201815960929, Acc= 0.9930746692710646
[T2][51/100] Loss=9.959177987184376e-05, Acc= 0.9931634555624611
[T2][52/100] Loss=9.834226511884481e-05, Acc= 0.9933410281452544
[T2][53/100] Loss=9.71293993643485e-05, Acc= 0.993429814436651
[T2][54/100] Loss=9.59529570536688e-05, Acc= 0.993429814436651
[T2][55/100] Loss=9.48116576182656e-05, Acc= 0.993429814436651
[T2][56/100] Loss=9.370220504933968e-05, Acc= 0.993429814436651
[T2][57/100] Loss=9.26207285374403e-05, Acc= 0.9935186007280475
[T2][58/100] Loss=9.156842133961618e-05, Acc= 0.9935186007280475
[T2][59/100] Loss=9.054499969352037e-05, Acc= 0.9935186007280475
[T2][60/100] Loss=8.954884833656251e-05, Acc= 0.9936073870194442
[T2][61/100] Loss=8.85771369212307e-05, Acc= 0.9936073870194442
[T2][62/100] Loss=8.762974903220311e-05, Acc= 0.9936961733108408
[T2][63/100] Loss=8.670268289279193e-05, Acc= 0.9936961733108408
[T2][64/100] Loss=8.579778659623116e-05, Acc= 0.9937849596022374
[T2][65/100] Loss=8.491293556289747e-05, Acc= 0.9937849596022374
